DF Topic #,DF Topic Name,Tally,Tags
1,Numbers up to 100,,
2,Increasing and decreasing by 1,,
3,Comparing amounts using words,,
4,"Counting by skipping in 2s, 3s, 5s or 10s",,
5,Odd and even numbers,,
6,Understanding (positive) whole numbers on a number line,,
7,Pictorial addition and subtraction (numbers up to 20),,
8,Number bonds for numbers up to 20,,
9,Addition using numbers up to 20,,
10,Subtraction using numbers up to 20,,
11,Multiplication as arrays and repeated addition,,
12,Division as grouping and sharing,,
13,Understanding directional language,,
14,Reading integer values off a scale,1,"KS3, Year 7"
15,"Measuring using scales of lengths, mass and capacity",1,"KS3, Year 7"
16,Describing time,,
17,Understanding place value involving tens and ones,,
18,Number bonds for numbers up to 100,,
19,Adding numbers up to 2 digits with answers up to 100,,
20,Subtracting numbers up to 2 digits,,
21,Properties of addition and subtraction,,
22,"Make up monetary values with coins and notes, with no decimal notation (GBP/Euro/Dollars)",,
23,Multiplication and division notation,,
24,"The 2, 5 and 10 times tables",,
25,Introduction to 2D shapes,,
26,"Recognising and using halves, quarters and thirds",,
27,Reading values from a table of discrete or categorical data,,
28,Tally charts (discrete and categorical data),,
29,Block diagrams,,
30,Line and dot plots,,
31,Pictograms,2,"KS3, Year 7, GCSE Foundation"
32,Introduction to 3D shapes,,
33,Tell the time using an analogue clock,,
34,Numbers above 100,,
35,Place value above the 100s digit,,
36,Comparing and ordering positive numbers above 100,,
37,"Rounding a number to nearest 10, 100, 1000 and beyond",,
38,Further counting by skipping,,
39,Mental addition and subtraction strategies,1,"KS3, Year 7"
40,Column addition,1,"KS3, Year 7"
41,Column subtraction,1,"KS3, Year 7"
42,Times tables up to 12 × 12,,
43,Properties of multiplication and division,,
44,Multiplying numbers by 1 or 0 and divide by 1,,
45,"Multiplying and dividing integers by 10, 100, 1000, etc.",,
46,The Commutative and Associative Laws,,
47,The Distributive Law and the area model for multiplication,,
48,Related number facts with place value,2,"KS3, Year 8, GCSE Foundation"
49,Dividing a large number by a 1 digit number using partitioning,,
50,"Solving one-step and two-step arithmetic problems, including working with money in the same unit",,
51,Checking calculations,,
52,Multiples of a number,2,"KS3, Year 7, GCSE Foundation"
53,Factors of a number,2,"KS3, Year 7, GCSE Foundation"
54,Recognising and using fractions with denominators to 12,2,"KS3, Year 7, GCSE Foundation"
55,Comparing and ordering fractions where one part is the same,,
56,Adding and subtracting fractions with the same denominator,,
57,Fractions of an amount,,
58,Roman numerals,,
59,Time conversions,1,"KS3, Year 7"
60,Reading times on digital clocks,,
61,Difference between two times or the end time after a time has elapsed,,
62,Identifying right-angles and relating to other angles and turns,,
63,"Identifying vertical, horizontal, parallel and perpendicular lines",1,"KS3, Year 7"
64,Perimeter of a 2D shape by counting squares,1,"KS3, Year 7"
65,Bar charts and vertical line charts,3,"KS3, Year 7, GCSE Foundation, GCSE Higher"
66,Short column multiplication,1,"KS3, Year 7"
67,Long column multiplication,1,"KS3, Year 7"
68,"Recognising and using tenths, hundredths and thousandths",1,"KS3, Year 7"
69,"Decimal place value, including basic fraction and decimal equivalence",1,"KS3, Year 7"
70,"Multiplying and dividing by 10, 100, 1000, including decimals",2,"KS3, Year 8, GCSE Foundation"
71,Compare decimals,2,"KS3, Year 8, GCSE Foundation"
72,Number bonds with decimals,1,"KS3, Year 7"
73,"Making up monetary values with coins and notes, with decimal notation (GBP/Euro/Dollars)",1,"KS3, Year 7"
74,Adding and subtracting decimal numbers,5,"KS3, Year 7, Year 8, GCSE Foundation"
75,Rounding a number to a given number of decimal places,3,"KS3, Year 7, Year 8, GCSE Foundation"
76,Types of angle,1,"KS3, Year 7"
77,Types of quadrilaterals and triangles,4,"KS3, Year 7, Year 8, GCSE Foundation"
78,Properties of polygons,2,"KS3, Year 7, GCSE Foundation"
79,Perimeter of a 2D shape by adding lengths,1,"KS3, Year 7"
80,Area of shapes by counting squares,1,"KS3, Year 7"
81,Reflecting a shape in a mirror line (no axes),1,"KS3, Year 7"
82,Translating a shape using directional language (no axes),1,"KS3, Year 7"
83,Coordinates in the first quadrant,2,"KS3, Year 7, GCSE Foundation"
84,Map grid references,,
85,Counting up and down with negative numbers,1,"KS3, Year 7"
86,Comparing and ordering positive and negative numbers,1,"KS3, Year 7"
87,Using negative numbers in context,1,"KS3, Year 7"
88,"Power notation and calculate simple powers, e.g. squares, cubes",2,"KS3, Year 7, GCSE Foundation"
89,Completing short divisions with no remainders,1,"KS3, Year 7"
90,Completing long divisions with no remainders,1,"KS3, Year 7"
91,Completing divisions with remainders as integers,1,"KS3, Year 8"
92,Completing divisions with remainders as fractions and decimals,1,"KS3, Year 8"
93,Halfway between two numbers,1,"KS3, Year 7"
94,Common multiples by listing,1,GCSE Foundation
95,Common factors by listing,1,GCSE Foundation
96,Highest Common Factor and Lowest Common Multiple by listing,1,GCSE Higher
97,Prime numbers,2,"KS3, Year 7, GCSE Foundation"
98,Fractional equivalence using factors and multiples,3,"KS3, Year 7, GCSE Foundation, GCSE Higher"
99,Comparing and ordering fractions where the denominators are multiples of each other,1,"KS3, Year 7"
100,Adding and subtracting fractions where the denominators are multiples of each other,1,"KS3, Year 8"
101,Converting between mixed numbers and improper fractions,1,"KS3, Year 8"
102,Adding and subtracting mixed numbers with the same denominator,1,"KS3, Year 8"
103,Adding and subtracting mixed numbers where one denominator is a multiple of another,1,"KS3, Year 8"
104,"Fraction and decimal equivalence for halves, quarters and fifths",1,"KS3, Year 7"
