Book,Chapter,Sub-Topic,DF Topic Refs,DF Topic Names (review)
Year 7 Core,1 Analysing and displaying data,"Mode, median and range",207;237,"Mode, median, range from listed data (0.44) | Median, mode and range from ungrouped frequency tables (0.21)"
Year 7 Core,1 Analysing and displaying data,Displaying data,31;65;131;240,Pictograms (manual) | Bar charts and vertical line charts (manual) | Pie charts with simple fractions and percentages (manual) | Stem-and-leaf diagrams (manual)
Year 7 Core,1 Analysing and displaying data,Grouping data,312,Estimating the mean from grouped frequency tables (manual)
Year 7 Core,1 Analysing and displaying data,Averages and comparing data,403,Comparing data sets using different representations (0.21)
Year 7 Core,1 Analysing and displaying data,Line graphs and more bar charts,239;315,Dual and stacked bar charts (0.17) | Frequency polygons (manual)
Year 7 Core,2 Number skills,Mental maths,39,Mental addition and subtraction strategies (manual)
Year 7 Core,2 Number skills,Addition and subtraction,40;41;74,Column addition (manual) | Column subtraction (manual) | Adding and subtracting decimal numbers (manual)
Year 7 Core,2 Number skills,Multiplication,66;67;122;123,Short column multiplication (manual) | Long column multiplication (manual) | Multiplying a decimal by an integer (manual) | Multiplying decimal numbers (manual)
Year 7 Core,2 Number skills,Division,89;90;124;125,Completing short divisions with no remainders (manual) | Completing long divisions with no remainders (manual) | Dividing a decimal by an integer (manual) | Dividing by decimal numbers (manual)
Year 7 Core,2 Number skills,Money and time,59;127;73,"Time conversions (manual) | Calculating with money in decimal notation (manual) | Making up monetary values with coins and notes, with decimal notation (GBP/Euro/Dollars) (gap-filled)"
Year 7 Core,2 Number skills,Negative numbers,85;86;87;155;156;93,Counting up and down with negative numbers (manual) | Comparing and ordering positive and negative numbers (manual) | Using negative numbers in context (manual) | Adding or subtracting a mixture of positive and negative numbers (0.31) | Multiplying or dividing a mixture of positive and negative numbers (0.32) | Halfway between two numbers (gap-filled)
Year 7 Core,2 Number skills,"Factors, multiples and primes",52;53;97,Multiples of a number (manual) | Factors of a number (manual) | Prime numbers (manual)
Year 7 Core,2 Number skills,Square numbers,88,"Power notation and calculate simple powers, e.g. squares, cubes (manual)"
Year 7 Core,"3 Expressions, functions and formulae",Functions,133;134,Function machines (manual) | Algebraic thinking (gap-filled)
Year 7 Core,"3 Expressions, functions and formulae",Simplifying expressions 1,193,Collecting like terms (manual)
Year 7 Core,"3 Expressions, functions and formulae",Simplifying expressions 2,193,Collecting like terms (manual)
Year 7 Core,"3 Expressions, functions and formulae",Writing expressions,198,Forming linear algebraic expressions and formulae from a given context (manual)
Year 7 Core,"3 Expressions, functions and formulae",Substituting into formulae,136,Basic substitution with positive integers (manual)
Year 7 Core,"3 Expressions, functions and formulae",Writing formulae,198,Forming linear algebraic expressions and formulae from a given context (manual)
Year 7 Core,4 Decimals and measures,Decimals and rounding,75;68;69,"Rounding a number to a given number of decimal places (manual) | Recognising and using tenths, hundredths and thousandths (gap-filled) | Decimal place value, including basic fraction and decimal equivalence (gap-filled)"
Year 7 Core,4 Decimals and measures,"Length, mass and capacity",107,Converting between metric units of measure (0.20)
Year 7 Core,4 Decimals and measures,Scales and measures,14;15,"Reading integer values off a scale (manual) | Measuring using scales of lengths, mass and capacity (manual)"
Year 7 Core,4 Decimals and measures,Working with decimals mentally,74;122;123;124;125;72,Adding and subtracting decimal numbers (manual) | Multiplying a decimal by an integer (manual) | Multiplying decimal numbers (manual) | Dividing a decimal by an integer (manual) | Dividing by decimal numbers (manual) | Number bonds with decimals (gap-filled)
Year 7 Core,4 Decimals and measures,Working with decimals,74;122;123;124;125,Adding and subtracting decimal numbers (manual) | Multiplying a decimal by an integer (manual) | Multiplying decimal numbers (manual) | Dividing a decimal by an integer (manual) | Dividing by decimal numbers (manual)
Year 7 Core,4 Decimals and measures,Perimeter,64;79;180,Perimeter of a 2D shape by counting squares (manual) | Perimeter of a 2D shape by adding lengths (manual) | Perimeter of rectilinear shapes (0.13)
Year 7 Core,4 Decimals and measures,Area,80;138;140,Area of shapes by counting squares (manual) | Area of a rectangle by using the formula (manual) | Area of a triangle (0.24)
Year 7 Core,4 Decimals and measures,More units of measure,107;108,Converting between metric units of measure (0.28) | Equivalence of metric and imperial units (manual)
Year 7 Core,5 Fractions and percentages,Comparing fractions,99;116;175,"Comparing and ordering fractions where the denominators are multiples of each other (0.15) | Comparing and ordering fractions with different denominators. (manual) | Comparing and ordering fractions, decimal and percentages (0.21)"
Year 7 Core,5 Fractions and percentages,Simplifying fractions,98,Fractional equivalence using factors and multiples (manual)
