Q#,DF ref,DF ref #,Level,Calculator,Question (raw),Answer (raw),Wrong1 (raw),Wrong 2 (raw),Worked Answer (raw),Hint,Question (notated),Answer (notated),Wrong1 (notated),Wrong 2 (notated),Worked Answer (notated),,
1,14c,14,2,No,"A scale has marks every 2 units: 0,2,4,6... A point is 1/4 of the way from 6 to 8, find its value",6.5,6.25,7,"1/4 of the 2-unit gap is 0.5, so 6+0.5=6.5","Multiply the fraction by the gap size (2), then add to the lower mark",,,,,,,
2,14d,14,2,No,"Marks every 5 units. Point is 3/5 from 20 to 25, find its value",23,23.6,21.5,"3/5 of the 5-unit gap is 3, so 20+3=23","Multiply the fraction by the gap size (5), then add to the lower mark",,,,,,,
3,14d,14,2,No,"Marks every 10 units. Point is 0.7 from 30 to 40, find its value",37,33,31,"0.7 of the 10-unit gap is 7, so 30+7=37","Multiply the decimal by the gap size (10), then add to the lower mark",,,,,,,
4,15a,15,2,Yes,"Jug marks every 100ml. Level is 3/4 from 600ml to 700ml, find the volume",675ml,650ml,700ml,"3/4 of the 100ml gap is 75ml, so 600+75=675ml","Multiply the fraction by the gap size, then add to the lower mark",,,,,,,
5,15d,15,1,No,"Best unit for a pencil's length: mm, cm, or km?",cm,mm,km,"A pencil is a small, everyday object best measured in cm",Pick the unit that avoids very large or very tiny numbers for this object,,,,,,,
6,15g,15,1,No,"Best unit for a pool's capacity: ml, litres, or km³?",Litres,ml,km³,"A swimming pool is large but not astronomically large, so litres (or m³) suit it best",Millilitres would give an enormous number; km³ would be far too small a unit,,,,,,,
7,15h,15,1,No,"Best unit for an apple's mass: g, kg, or tonnes?",g,kg,tonnes,"An apple is light, so grams give a sensible-sized number",Pick the unit that avoids a number close to zero or overly large,,,,,,,
8,15j,15,1,No,"Best unit for a snail's speed: m/s, km/h, or mm/s?",mm/s,km/h,m/s,"A snail moves extremely slowly, so mm/s avoids an awkward tiny decimal",A very slow speed needs a small unit to give a sensible-sized number,,,,,,,
9,15k,15,2,Yes,"Order smallest to largest: 2.5kg, 850g, 0.3kg","0.3kg, 850g, 2.5kg","2.5kg, 850g, 0.3kg","850g, 0.3kg, 2.5kg","Converting to grams: 300g, 850g, 2500g, so the order is 0.3kg, 850g, 2.5kg",Convert every measurement to the same unit before comparing,,,,,,,
10,15k,15,3,No,"0.75L of milk: better measured in litres, or 50ml intervals?",The one marked in 50ml intervals,The one marked in litres,Either works equally well,"Finer intervals (50ml) allow a more precise, accurate measurement of an in-between amount like 0.75L",A litre-only scale can't easily show an exact 0.75L amount,,,,,,,
11,39a/b/c/f/h,39,2,No,30 = ☐ + 18,12,48,-12,☐ = 30 - 18 = 12.,Subtract 18 from 30.,,,,,,,
12,39a/b/c/f/h,39,3,No,20 = -3 + ☐,23,17,-17,Add 3 to both sides: ☐ = 20 + 3 = 23.,Add 3 to both sides.,,,,,,,
13,39a/b/c/f/h,39,2,No,13 = ☐ - 2,15,11,-15,Add 2 to both sides: ☐ = 13 + 2 = 15.,Add 2 to both sides.,,,,,,,
14,39a/b/c/f/h,39,3,No,☐ - 5 = -2,3,-7,7,Add 5 to both sides: ☐ = -2 + 5 = 3.,Add 5 to both sides.,,,,,,,
15,39a/b/c/f/h,39,1,No,12 = 4 + ☐,8,16,-8,☐ = 12 - 4 = 8.,Subtract 4 from 12.,,,,,,,
16,39a/b/c/f/h,39,1,No,☐ + 6 = 15,9,21,-9,☐ = 15 - 6 = 9.,Subtract 6 from 15.,,,,,,,
17,39d,39,1,No,356 = 300 + ☐ + 6,50,56,5,☐ = 356 - 300 - 6 = 50.,Subtract 300 and 6 from 356.,,,,,,,
18,39d,39,1,No,480 = 400 + ☐,80,880,8,☐ = 480 - 400 = 80.,Subtract 400 from 480.,,,,,,,
19,39d,39,2,No,6.2 = ☐ + 0.2,6,6.4,0.4,☐ = 6.2 - 0.2 = 6.,Subtract 0.2 from 6.2.,,,,,,,
20,39d,39,3,No,-2.5 = -6 + ☐,3.5,-3.5,8.5,☐ = -2.5 - (-6) = -2.5 + 6 = 3.5.,Add 6 to both sides.,,,,,,,
21,39d,39,3,No,-1.3 = ☐ - 3,1.7,-4.3,4.3,Add 3 to both sides: ☐ = -1.3 + 3 = 1.7.,Add 3 to both sides.,,,,,,,
22,39d,39,2,No,4.7 = 3 + ☐,1.7,1.3,0.7,☐ = 4.7 - 3 = 1.7.,Subtract 3 from 4.7.,,,,,,,
23,39e/g/i,39,3,No,Work out: -4 + 9 - 6 =,-1,1,11,-4 + 9 = 5. 5 - 6 = -1.,"Work left to right, or pair -4 and -6 first.",,,,,,,
24,39e/g/i,39,2,No,Work out: 364 - 178 =,186,214,196,"364 - 180 = 184. 178 is 2 less than 180, so add 2 back: 184 + 2 = 186.","Round 178 up to 180, subtract, then adjust.",,,,,,,
25,39e/g/i,39,1,No,Work out: 62 - 19 =,43,42,41,"62 - 20 = 42. 19 is 1 less than 20, so add 1 back: 42 + 1 = 43.","Round 19 up to 20, subtract, then adjust.",,,,,,,
26,39e/g/i,39,2,No,Work out: 258 + 149 =,407,397,417,"258 + 150 = 408. 149 is 1 less than 150, so subtract 1 back: 408 - 1 = 407.","Round 149 up to 150, add, then adjust.",,,,,,,
27,39e/g/i,39,3,No,Work out: 6.8 + 3.75 - 2.8 =,7.75,7.65,13.35,6.8 - 2.8 = 4. 4 + 3.75 = 7.75.,Pair 6.8 and -2.8 together first.,,,,,,,
28,39e/g/i,39,1,No,Work out: 47 + 35 =,82,72,812,40 + 30 = 70. 7 + 5 = 12. 70 + 12 = 82.,Add the tens and ones separately.,,,,,,,
29,40a,40,1,No,58 + 27 =,85,75,95,"Add the units: 8+7=15, write 5 carry 1. Add tens: 5+2+1=8. Answer: 85.","Line up the digits by place value and add column by column, carrying where needed.",,,,,,,
30,40b,40,1,No,356 + 278 =,634,524,644,"Add the units: 6+8=14, write 4 carry 1. Add tens: 5+7+1=13, write 3 carry 1. Add hundreds: 3+2+1=6. Answer: 634.","Line up the digits by place value and add column by column, carrying where needed.",,,,,,,
